,Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
180,DCB Bank,3.3k,3.8,Banking,9.4k,190,239,1930,95,"dcbbank.comPrimary IndustryBankingOther IndustriesFinancial ServicesReplay videoView in video summaryDCB Bank is a new generation private sector bank with 445 branches (as on 30th June 2024) across India. It is a scheduled commercial bank regulated by the Reserve Bank of India. It is professionally managed and governed. DCB Bank has contemporary technology and infrastructure including state of the art internet banking for personal as well as business banking customers.DCB Bank’s business segments are Retail, micro-SME, SME, mid-Corporate, Agriculture, Commodities, Government, Public Sector, Indian Banks, Co-operative Banks and Non Banking Finance Companies (NBFC). DCB Bank has approximately one million customers.The Bank’s network of state-of-the-art, customer friendly branches are situated across Andhra Pradesh, Bihar, Chhattisgarh, Daman, Delhi/ NCR, Goa, Gujarat, Haryana, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Odisha, Punjab, Rajasthan, Silvassa, Tamil Nadu, Telangana, Uttar Pradesh, Uttarakhand and West Bengal.DCB Bank has deep roots in India since its inception in 1930s. Its promoter and promoter group the Aga Khan Fund for Economic Development (AKFED) & Platinum Jubilee Investments Ltd. holds below 15% stake. AKFED is an international development enterprise. It is dedicated to promoting entrepreneurship and building economically sound companies.Vision: Our vision is to be the most innovative and responsive neighborhood bank in India serving entrepreneurs, individuals and businesses.AmbitionBox Best Places to Work in India AwardsBest of the best, rated by employeesDCB Bank won India’s Largest Employee Choice Awards in Mid-Sized Companies Category.#4 Top Rated Banking CompanyShareDCB Bank RatingsView allbased on 3.3k reviewsOverall Rating3.8/5How AmbitionBox ratings work?51.6k4696339322151436Category Ratings3.8Work-life balance3.7Company culture3.7Salary3.6Job security3.6Skill development3.5Work satisfaction3.4PromotionsDCB Bank is rated 3.8 out of 5 stars on AmbitionBox, based on 3.3k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at DCB Bankbased on 3.2k reviews3.6Rated by 438 WomenRated 3.7 for Job security and 3.6 for Work-life balance 3.8Rated by 2.7k MenRated 3.8 for Work-life balance and 3.7 for Company culture Work Policy at DCB Bank based on 546 reviews in last 6 monthsWork from office91%Hybrid6%Permanent work from home3%DCB Bank ReviewsView allTop mentions in DCB Bank ReviewsWork Culture (316)Salary (211)Work Environment (204)Work Life Balance (190)Senior Management (176)+ 5 moreLikes:It has a wonderful work life balance.salary is good.job security is better and friendly helping colleagues and seni...Dislikes:Hardware is not upto the markAssistant Software Engineer in Hyderabad / SecunderabadSoftware Development5.0 • posted on 07 Apr 2025Likes:It has a wonderful work life balance.salary is good.job security is better and friendly helping colleagues and seni...Salary - Excellent+6 moreDislikes:Hardware is not upto the markLikes:Nothing lyk much in dcb bank worst experience facedDislikes:Branch manager oriented company not for employees no one care for...Relationship Manager in WarangalBanking Operations2.0 • posted on 05 Apr 2025Likes:Nothing lyk much in dcb bank worst experience facedPromotions - GoodDislikes:Branch manager oriented company not for employees no one care for...Skill development - Poor+4 moreLikes:Here you can do career growth and personal growth along with office activitiesDislikes:The worst thing about this was when my friend or team leader told...Portfolio Executive in MumbaiFinance1.0 • posted on 26 Mar 2025Likes:Here you can do career growth and personal growth along with office activitiesDislikes:The worst thing about this was when my friend or team leader told...Salary - Bad+6 moreLikes:When I joined DCB Bank start my growth and devolopmy skillesDislikes:No di likes but now a days all company's follow digital but our D...Relationship Manager in NelloreBD / Pre Sales5.0 • posted on 22 Mar 2025Likes:When I joined DCB Bank start my growth and devolopmy skillesSalary - Excellent+6 moreDislikes:No di likes but now a days all company's follow digital but our D...Likes:Good HRDislikes:Even on holidays boss asks to drive the ground team for numbers b...Area Collection Manager in Hyderabad / SecunderabadRetail & B2C Sales5.0 • posted on 17 Mar 2025Likes:Good HRCompany culture - GoodDislikes:Even on holidays boss asks to drive the ground team for numbers b...Work satisfaction - PoorLikes:Environment was not good. They are doing part in Hindus and Muslim. They are not allowing in Ramzan for Iftar. You...Dislikes:Totally, I have 4 to 5 years experience in banking line, but in D...Customer Care Executive in MumbaiCustomer Success1.0 • posted on 08 Mar 2025Likes:Environment was not good. They are doing part in Hindus and Muslim. They are not allowing in Ramzan for Iftar. You...Dislikes:Totally, I have 4 to 5 years experience in banking line, but in D...Salary - Bad+6 moreLikes:Employees put a efforts working more time to give  good service delivery  to customersDislikes:Employees put a efforts working more to give  good service delive...Associate Manager 2 in Hyderabad / SecunderabadOperations2.0 • posted on 06 Mar 2025Likes:Employees put a efforts working more time to give  good service delivery  to customersDislikes:Employees put a efforts working more to give  good service delive...Salary - Bad+3 moreLikes:NothingDislikes:I borrow a loan when I employed here. And after one emi bouncing...Assistant Manager Collections in New DelhiBanking Operations1.0 • posted on 26 Feb 2025Likes:NothingSkill development - Good+1 moreDislikes:I borrow a loan when I employed here. And after one emi bouncing...Salary - Bad+4 moreLikes:Salary will be more than 40%Dislikes:Their is no job security ,not work satisfaction due charges part...Senior Relationship Manager in ChitradurgaBanking Operations3.0 • posted on 11 Feb 2025Likes:Salary will be more than 40%Salary - ExcellentDislikes:Their is no job security ,not work satisfaction due charges part...Job security - Poor+1 moreLikes:Work life balance and better office timings. Also option of work from from as an when required.Dislikes:Promotion criteria is not good.Assistant Manager II in MumbaiOperations5.0 • posted on 31 Jan 2025Likes:Work life balance and better office timings. Also option of work from from as an when required.Skill development - Good+4 moreDislikes:Promotion criteria is not good.Compare DCB Bank with Similar CompaniesDCB BankIndusInd BankChange CompanyIDFC FIRST BankChange CompanyAU Small Finance BankChange CompanyOverall Rating3.8/5based on 3.3k reviews3.5/5based on 11.5k reviews3.9/5based on 10.8k reviews4.2/5based on 12k reviewsHighly Rated forWork-life balanceNo highly rated categorySalarySkill developmentWork-life balanceSalaryCritically Rated forNo critically rated categoryPromotionsCompany cultureWork satisfactionNo critically rated categoryNo critically rated category"
181,Cummins,3.3k,4.3,Industrial Machinery,15.1k,239,84,1919,106,cummins.com
182,VE Commercial Vehicles,3.2k,3.9,Automobile,13.1k,225,8,2008,17,vecv.in
183,PVR Inox,3.2k,4.0,Media & Entertainment,9.4k,172,33,1997,28,pvrcinemas.com
184,Viatris,3.2k,4.2,Pharma,13.8k,141,5,2020,5,viatris.com
185,Berger Paints,3.2k,3.7,Chemicals,9k,272,162,1923,102,bergerpaints.com
186,Carelon Global Solutions,3.2k,3.9,Software Product,25k,368,14,,,"carelonglobal.inPrimary IndustrySoftware ProductOther IndustriesHealthcareAre you managing Carelon Global Solutions's employer brand? To edit company information,claim this page for freeCarelon Global Solutions (CGS) is a healthcare solutions company simplifying complex operational processes to improve the health of the healthcare system. Previously known as Legato Health Technologies, CGS underwent a name change and joined the Carelon family of brands in January 2023, as a fully owned subsidiary of Elevance Health. CGS brings together a global team of innovators managing and optimizing operational processes for health plans and providers. With headquarters in Indianapolis and additional locations in India, the Philippines, Ireland, and Puerto Rico, CGS enables scalable, next-generation platforms and specialized digital tools that enhance healthcare operations. The mission focuses on improving lives and communities while simplifying healthcare.This content is AI-generated.Report errorManaging your company's employer brand?Claim this Company Page for FREEClaim NowCarelon Global Solutions RatingsView allbased on 3.2k reviewsOverall Rating3.9/5How AmbitionBox ratings work?51.4k4985347321521243Category Ratings3.9Company culture3.9Job security3.8Salary3.8Work-life balance3.6Skill development3.5Work satisfaction3.2PromotionsCarelon Global Solutions is rated 3.9 out of 5 stars on AmbitionBox, based on 3.2k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Carelon Global Solutionsbased on 3.1k reviews4.0Rated by 999 WomenRated 4.0 for Company culture and 4.0 for Job security 3.9Rated by 2.1k MenRated 3.8 for Work-life balance and 3.8 for Company culture Work Policy at Carelon Global Solutions based on 580 reviews in last 6 monthsHybrid96%Work from office4%Carelon Global Solutions ReviewsView allTop mentions in Carelon Global Solutions ReviewsWork Life Balance (447)Work Culture (383)Senior Management (360)Salary (307)Work Environment (243)+ 5 moreLikes:Company Culture is best for staying in this organisationDislikes:Salary is not so good and slow growth in promotions and no Job se...Claims Associate in Gurgaon / GurugramClaims 3.0 • posted on 14 Apr 2025Likes:Company Culture is best for staying in this organisationCompany culture - GoodDislikes:Salary is not so good and slow growth in promotions and no Job se...Salary - Poor+2 moreLikes:Flexibility of shiftsDislikes:Recently they decresed the salary of so many employees by removin...Claims Associate in Hyderabad / SecunderabadLife Insurance3.0 • posted on 11 Apr 2025Likes:Flexibility of shiftsJob security - ExcellentDislikes:Recently they decresed the salary of so many employees by removin...Salary - BadLikes:Parent organization is good. Not Carelon .Dislikes:Pathetic management,  politics within the team and the managers....Team Lead in Bangalore / BengaluruRecruitment & Talent Acquisition1.0 • posted on 09 Apr 2025Likes:Parent organization is good. Not Carelon .Dislikes:Pathetic management,  politics within the team and the managers....Salary - Bad+6 moreLikes:Office ambience is greatDislikes:Management is poor and lot of local group forming people  were in...Senior Software Engineer in Bangalore / BengaluruSoftware Development1.0 • posted on 29 Mar 2025Likes:Office ambience is greatDislikes:Management is poor and lot of local group forming people  were in...Salary - Bad+5 moreLikes:Everything is fine with the company culture and all I really like the organizationDislikes:Coming to work satisfaction there is lot of pressure in some proc...Claims Associate in Hyderabad / SecunderabadHealth Informatics4.0 • posted on 27 Mar 2025Likes:Everything is fine with the company culture and all I really like the organizationSalary - Excellent+3 moreDislikes:Coming to work satisfaction there is lot of pressure in some proc...Work satisfaction - PoorLikes:Nothing as such. Worst experience so far here.Dislikes:No increments if you have achieved better previously, just forget...Senior Software Engineer in Bangalore / BengaluruSoftware Development1.0 • posted on 18 Mar 2025Likes:Nothing as such. Worst experience so far here.Dislikes:No increments if you have achieved better previously, just forget...Salary - Bad+5 moreLikes:Cab facility for every employee, despite of any shift.Dislikes:No growth opportunity, it holds F&F of everyone, you have to ping...Associate in Bangalore / BengaluruIT Consulting1.0 • posted on 20 Feb 2025Likes:Cab facility for every employee, despite of any shift.Dislikes:No growth opportunity, it holds F&F of everyone, you have to ping...Salary - Bad+5 moreLikes:Work culture and job safety and shift allowance and cab, food .. all are good...Dislikes:They have moved to UST GLOBAL SOLUTIONS from Carelon global solut...Senior Devops Engineer in Bangalore / BengaluruSoftware Development5.0 • posted on 15 Feb 2025Likes:Work culture and job safety and shift allowance and cab, food .. all are good...Salary - Excellent+6 moreDislikes:They have moved to UST GLOBAL SOLUTIONS from Carelon global solut...Likes:Skills development, flexible, pick and drop facility.Dislikes:After changing from Legato to Carelon company started so much of...Claims Associate in New DelhiOperations3.0 • posted on 12 Feb 2025Likes:Skills development, flexible, pick and drop facility.Skill development - Good+2 moreDislikes:After changing from Legato to Carelon company started so much of...Likes:Work satisfactionDislikes:It is very hard to get promotions in carelon I feel promotions wi...Claims Associate in Hyderabad / SecunderabadNon Voice5.0 • posted on 11 Feb 2025Likes:Work satisfactionSalary - Good+6 moreDislikes:It is very hard to get promotions in carelon I feel promotions wi...Compare Carelon Global Solutions with Similar CompaniesCarelon Global SolutionsOracleChange CompanyAmdocsChange CompanyAutomatic Data Processing (ADP)Change CompanyOverall Rating3.9/5based on 3.2k reviews3.7/5based on 5.4k reviews3.7/5based on 4.1k reviews4.0/5based on 3.2k reviewsHighly Rated forJob securityCompany cultureWork-life balanceWork-life balanceJob securityCompany cultureJob securityWork-life balanceCompany cultureCritically Rated forPromotionsPromotionsSalaryPromotionsWork satisfactionPromotions"
187,Godrej & Boyce Manufacturing,3.2k,3.9,Consumer Electronics & Appliances,15.4k,183,69,1897,128,godrej.com
188,Samvardhana Motherson Group,3.2k,3.7,Auto Components,12.6k,221,7,1986,39,motherson.com
189,Lenskart,3.2k,3.2,Internet,11.1k,325,144,2010,15,lenskart.com 
190,Subros,3.2k,3.8,Auto Components,12.2k,173,1,1985,40,subros.com
191,Pidilite Industries,3.2k,4.3,Chemicals,10.1k,209,6,1959,66,pidilite.com 
192,Automatic Data Processing (ADP),3.2k,4.0,Software Product,20.3k,245,29,1949,76,in.adp.com
193,Alembic Pharmaceuticals,3.2k,4.0,Pharma,14.2k,208,61,1907,118,alembicpharmaceuticals.com
194,American Express,3.2k,4.2,Financial Services,21.6k,368,206,1850,175,americanexpress.com
195,Bank of America,3.2k,4.2,Banking,25.5k,242,57,1998,27,bankofamerica.com
196,Abbott,3.1k,4.1,Pharma,11.2k,153,266,1888,137,abbott.com
197,Sodexo,3.1k,4.1,Facility Management Services,9.7k,166,100,1966,59,sodexo.com
198,Jindal Steel and Power,3.1k,3.9,Iron & Steel,14.2k,325,18,1979,46,jindalsteel.com
199,Hindalco Industries,3.1k,4.2,Metals & Mining,10.7k,221,61,1958,67,hindalco.com
200,Bharat Electronics,3.1k,4.2,Electronics Manufacturing,12k,212,--,1954,71,bel-india.in
201,RBL Bank,3.1k,3.6,Banking,17k,180,26,1943,82,rblbank.com
202,Jubilant Foods Works,3.1k,3.7,Hospitality,8.4k,187,40,1995,30,jubilantfoodworks.com
203,Kogta Financial India Limited,3k,4.7,NBFC,1.7k,86,50,1996,29,kogta.in
204,Reliance Projects & Property Management Services,3.1k,4.0,IT Services & Consulting,6.8k,178,--,,,ril.com
205,Indian Oil Corporation,3.1k,4.4,Oil & Gas,7.8k,211,--,1959,66,iocl.com
206,Future Group,3k,4.2,Retail,9.3k,80,--,2013,12,futuregroup.in
207,Birlasoft,3.1k,3.6,IT Services & Consulting,28.7k,286,11,1995,30,birlasoft.com
208,Synechron,3.1k,3.5,IT Services & Consulting,27.4k,369,179,2001,24,synechron.com
209,Escorts Kubota Limited,3.1k,4.1,Automobile,12.1k,236,12,1944,81,escortskubota.com 
210,Cogent E Services,3k,3.3,,9.5k,246,2,2004,21,cogenteservices.com
211,Maersk,3.1k,4.1,Logistics,17.5k,207,138,1904,121,maersk.com 
212,Dabur,3k,4.0,FMCG,8.4k,277,45,1884,141,dabur.com
213,Marpu Foundation ,3k,4.8,Non-Profit,50,88,--,2016,9,"marpu.orgPrimary IndustryNon-ProfitOther Industries--Marpu Foundation  RatingsView allbased on 3k reviewsOverall Rating4.8/5How AmbitionBox ratings work?52.6k43603372315Category Ratings4.8Company culture4.7Work-life balance4.7Skill development4.7Work satisfaction4.6Job security4.5Salary4.5PromotionsMarpu Foundation  is rated 4.8 out of 5 stars on AmbitionBox, based on 3k company reviews. This rating reflects a generally positive employee experience, indicating satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Marpu Foundation based on 2.8k reviews4.8Rated by 1.9k WomenRated 4.8 for Company culture and 4.7 for Work-life balance 4.8Rated by 902 MenRated 4.8 for Company culture and 4.8 for Work satisfaction Work Policy at Marpu Foundation  based on 388 reviews in last 6 monthsPermanent work from home66%Hybrid27%Work from office7%Marpu Foundation  ReviewsView allTop mentions in Marpu Foundation  ReviewsLearning (400)Career Growth (361)Work Environment (284)Working Hours/shift (194)Work Culture (149)+ 5 moreLikes:Dislikes:Medical "
214,Reliance Digital,3k,4.1,Retail,7.9k,132,--,2007,18,reliancedigital.in
215,Johnson Controls,3k,3.6,Industrial Automation,16.3k,265,244,1885,140,johnsoncontrols.in 
216,Ford Motor,3k,4.3,Automobile,14.5k,151,--,1903,122,corporate.ford.com
217,"NTT DATA, Inc.",3k,4.0,IT Services & Consulting,26.1k,125,727,1967,58,us.nttdata.com Career pagehttps://us.nttdata.com/en/careers Follow us on naukrihttps://www.naukri.com/ntt-data-information-processing-services-overview-10036880 
218,State Street Corporation,3k,3.7,Financial Services,27.5k,233,4,1792,233,statestreet.com
219,Glenmark Pharmaceuticals,2.9k,3.9,Pharma,11.4k,142,110,1977,48,glenmarkpharma.com
220,Alkem Laboratories,2.9k,3.9,Pharma,9.3k,155,77,1973,52,alkemlabs.com
221,Ipca Laboratories,3k,3.9,Pharma,11.1k,163,44,1949,76,ipca.com
222,24/7 Customer,2.9k,3.5,Software Product,13.3k,176,28,2000,25,247.ai
223,UBS,2.9k,3.9,Financial Services,29.1k,341,--,1998,27,ubs.com
224,PNB MetLife,2.9k,3.4,Insurance,7.6k,157,313,2001,24,pnbmetlife.com
225,Aarti Industries,2.9k,4.1,Agro Chemicals,13.8k,289,26,1975,50,aarti-industries.com
226,Vishal Mega Mart,2.9k,3.7,Retail,6.3k,163,--,2008,17,vishalmegamart.com
227,Kotak Mahindara Life Insurance,2.9k,3.7,Insurance,11.6k,226,103,2001,24,kotaklife.com
228,Kyndryl,3k,4.0,IT Services & Consulting,21.5k,190,69,2022,3,kyndryl.com Career pagehttps://www.kyndryl.com/in/en/careers Follow us on naukrihttps://www.naukri.com/kyndryl-overview-5462642 Company contact no.9980851851 E-mailinquiry@kyndryl.com 
229,JK Cement,2.9k,4.1,Building Material,8.9k,275,--,1975,50,jkcement.com
230,Honda Motorcycle & Scooter ,2.9k,4.1,Automobile,10.9k,157,--,2001,24,honda2wheelersindia.com
231,KPIT Technologies,2.9k,3.4,Software Product,21k,292,33,1990,35,kpit.com
232,MRF Tyres,2.9k,3.7,Auto Components,11.5k,314,17,1946,79,mrftyres.com
233,Indian Air Force,2.8k,4.5,Defence & Aerospace,5.1k,56,--,1932,93,indianairforce.nic.in
234,Hindustan Coca Cola Beverages,2.8k,4.1,Beverage,7.3k,140,48,1997,28,hccb.in
235,HARMAN,2.8k,3.7,Consumer Electronics & Appliances,23.6k,267,326,2009,16,harman.com
236,Motilal Oswal Financial Services,2.9k,3.7,Financial Services,10.5k,275,36,1987,38,motilaloswalgroup.com 
237,DTDC Express,2.8k,3.7,Logistics,8.5k,156,19,1990,35,dtdc.in
238,IGT Solutions,2.8k,3.3,IT Services & Consulting,12.4k,222,115,1998,27,igtsolutions.com
239,Aditya Birla Sun Life Insurance,2.9k,4.0,Insurance,9.1k,140,2,2000,25,lifeinsurance.adityabirlacapital.com
240,Reliance Nippon Life Insurance,2.8k,3.6,Insurance,8.3k,141,7,2000,25,reliancenipponlife.com
241,ABB,2.8k,4.1,Industrial Machinery,16k,243,22,1988,37,global.abb 
242,Conduent,2.8k,3.5,BPO,17.6k,199,54,2017,8,conduent.com 
243,Ceat Tyres,2.8k,4.0,Auto Components,12.3k,169,1,1958,67,ceat.com
244,NatWest Group,2.8k,4.0,Banking,19.6k,209,--,,,natwestgroup.com
245,Square Yards,2.7k,3.7,Internet,8.7k,204,55,2014,11,squareyards.com
246,GeBBS Healthcare Solutions,2.8k,3.7,Healthcare,11.2k,151,47,2005,20,gebbs.com
247,InterGlobe Aviation,2.7k,3.6,Aviation,12.9k,325,32,2005,20,goindigo.in
248,Grasim Industries,2.8k,4.0,Building Material,10.8k,216,4,1947,78,grasim.com
249,Whitehat jr,2.7k,3.4,EdTech,9.5k,262,--,2018,7,whitehatjr.com
250,UnitedHealth,2.7k,4.0,Healthcare,17.1k,84,--,1977,48,unitedhealthgroup.com
251,Alstom Transportation,2.7k,3.7,Engineering & Construction,13k,247,115,1928,97,alstom.com
252,ArcelorMittal Nippon Steel,2.7k,4.1,Iron & Steel,10.1k,235,11,,,amns.in
253,RSPL Group,2.7k,4.1,FMCG,9k,196,31,,,rsplgroup.com
254,Tata Capital,2.7k,4.0,NBFC,9.6k,144,1.1k,2007,18,tatacapital.com
255,CMS IT Services,2.7k,3.1,IT Services & Consulting,10k,138,5,2014,11,cmsitservices.com
256,Max Healthcare,2.7k,4.1,Healthcare,9.6k,145,104,2001,24,maxhealthcare.in
257,Tata Technologies,2.7k,3.6,Engineering & Construction,20.5k,267,115,1989,36,tatatechnologies.com
258,Tata AIG,2.6k,4.1,Insurance,10.7k,160,119,2000,25,tataaig.com
259,PepsiCo,2.6k,4.0,Food Processing,11.4k,203,319,1965,60,pepsicoindia.co.in
260,S&P Global,2.6k,4.1,Analytics & KPO,18.1k,285,251,1860,165,spglobal.com
261,Titan Company,2.6k,4.3,Retail,8.9k,159,68,1984,41,titancompany.in
262,Varroc Group,2.6k,3.6,Auto Components,8.9k,182,16,1988,37,varroc.com
263,UNO Minda,2.6k,4.0,Auto Components,9.7k,186,15,1958,67,unominda.com
264,Amazon Transportation Services,2.6k,4.2,,7.6k,229,--,2012,13,amazon.in
265,UPL,2.6k,4.1,Agro Chemicals,10.9k,182,65,1969,56,upl-ltd.com
266,ACC,2.6k,3.9,Building Material,9.3k,198,2,1936,89,acclimited.com
267,Zensar Technologies,2.6k,3.7,IT Services & Consulting,25.3k,256,296,2001,24,zensar.com
268,Torrent Pharmaceuticals,2.6k,3.9,Pharma,10k,131,46,1971,54,torrentpharma.com 
269,Croma,2.6k,4.0,Retail,7.7k,137,48,2006,19,croma.com 
270,Mankind Pharma,2.5k,3.9,Pharma,8.6k,203,16,1995,30,mankindpharma.com
271,Walmart,2.6k,3.7,Retail,18k,390,242,2009,16,walmart.com
272,Afcons Infrastructure,2.5k,4.2,Engineering & Construction,8.1k,215,4,1959,66,afcons.com
273,Shoppers Stop,2.5k,4.1,Retail,7.1k,115,9,1991,34,shoppersstop.com
274,Bajaj Allianz General Insurance,2.5k,3.9,Insurance,8.9k,98,284,,,bajajallianz.com
275,Societe Generale Global Solution Centre,2.5k,3.8,IT Services & Consulting,20.7k,257,23,2000,25,globalsolutioncenter.societegenerale.in Company contact no.08067315000 
276,Barclays,2.6k,3.8,Banking,25.5k,279,--,1690,335,home.barclays
277,Dilip Buildcon,2.5k,4.0,Engineering & Construction,8.1k,148,11,1987,38,dilipbuildcon.co.in
278,TVS Credit,2.5k,4.3,NBFC,6.6k,115,24,2008,17,tvscredit.com
279,I Process Services,2.5k,3.9,,5.4k,105,--,2005,20,"iprocess.inPrimary Industry--Other IndustriesSoftware ProductAre you managing I Process Services's employer brand? To edit company information,claim this page for freei-Process Services (India) Pvt. Ltd. is a captive outsourcing setup providing manpower and training support to ICICI Bank Ltd. We specilize in all aspects of employee life cycle management starting with recruitment, compensation & benefit, training, payroll, performance management, compliance, attrition management and exit.Managing your company's employer brand?Claim this Company Page for FREEClaim NowI Process Services RatingsView allbased on 2.5k reviewsOverall Rating3.9/5How AmbitionBox ratings work?51.1k4572336221371265Category Ratings3.8Company culture3.8Work-life balance3.7Skill development3.7Work satisfaction3.5Job security3.3Salary2.9PromotionsI Process Services is rated 3.9 out of 5 stars on AmbitionBox, based on 2.5k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at I Process Servicesbased on 2.3k reviews3.8Rated by 476 WomenRated 3.8 for Company culture and 3.7 for Work-life balance 3.9Rated by 1.9k MenRated 3.8 for Work-life balance and 3.8 for Company culture Work Policy at I Process Services based on 325 reviews in last 6 monthsWork from office86%Hybrid8%Permanent work from home6%I Process Services ReviewsView allTop mentions in I Process Services ReviewsSalary (478)Appraisal (213)Career Growth (170)Work Environment (161)Work Culture (111)+ 5 moreLikes:Everything is balanced, and I also increase my skill, I received my salary on time, company cultural is friendly, y...Dislikes:NoCPA Manager in Gurgaon / GurugramOperations4.0 • posted on 24 Mar 2025Likes:Everything is balanced, and I also increase my skill, I received my salary on time, company cultural is friendly, y...Salary - Good+6 moreDislikes:NoLikes:I don't like anything about this company.Dislikes:This company is a third-party payroll provider for ICICI Bank and...Senior Executive in JaipurRCU Investigation1.0 • posted on 14 Mar 2025Likes:I don't like anything about this company.Dislikes:This company is a third-party payroll provider for ICICI Bank and...Salary - Bad+6 moreLikes:There isn’t much of a good experience; it’s mainly just learning through the work itself, but I don’t receive much...Dislikes:There’s too much work pressure, and seniors only occasionally off...Senior Sales Executive in Mumbai SuburbanSales Support & Operations1.0 • posted on 01 Mar 2025Likes:There isn’t much of a good experience; it’s mainly just learning through the work itself, but I don’t receive much...Dislikes:There’s too much work pressure, and seniors only occasionally off...Salary - Poor+6 moreLikes:There is no pressure in this job, you can work here without any fear.you can enjoy atmosphereDislikes:Salary is very low , there is no job security, no hikes no promot...Senior Associate Operations in Hyderabad / SecunderabadBanking Operations4.0 • posted on 17 Feb 2025Likes:There is no pressure in this job, you can work here without any fear.you can enjoy atmosphereSkill development - Good+3 moreDislikes:Salary is very low , there is no job security, no hikes no promot...Job security - BadLikes:the strong sense of collaboration and support within my team, the opportunities for continuous learning and develop...Dislikes:A role that isn't challenging you anymoreCredit Processing Associate in Hyderabad / SecunderabadOperations4.0 • posted on 28 Jan 2025Likes:the strong sense of collaboration and support within my team, the opportunities for continuous learning and develop...Salary - Good+5 moreDislikes:A role that isn't challenging you anymoreLikes:If u r fresher it's good . U have so many things to learn but at lowe salaryDislikes:Salary issues every single employee has a salary issue here . The...Corporate HR Associate in MumbaiHR Operations2.0 • posted on 27 Jan 2025Likes:If u r fresher it's good . U have so many things to learn but at lowe salarySkill development - Good+1 moreDislikes:Salary issues every single employee has a salary issue here . The...Salary - Bad+4 moreLikes:Job security is there,Dislikes:Worst work culture, no work life balance, less pay, strict work h...Deputy Manager HR in MumbaiRecruitment & Talent Acquisition1.0 • posted on 16 Dec 2024Likes:Job security is there,Dislikes:Worst work culture, no work life balance, less pay, strict work h...Salary - Bad+5 moreLikes:Overall was good, they don't give high salary or zero promotion. Enjoy in less salaryDislikes:Actually traveling allowance is not there, career growth is not t...Sales Executive in RanchiManagement Consulting4.0 • posted on 06 Dec 2024Likes:Overall was good, they don't give high salary or zero promotion. Enjoy in less salarySkill development - Good+4 moreDislikes:Actually traveling allowance is not there, career growth is not t...Likes:serving bank can learn banking productsDislikes:HR dont respont even after calling multiple times Hr wont respond...Home Loan Counsellor in Hyderabad / SecunderabadSales Support & Operations2.0 • posted on 30 Nov 2024Likes:serving bank can learn banking productsDislikes:HR dont respont even after calling multiple times Hr wont respond...Salary - Bad+3 moreLikes:I have good knowledge of sales and customer is positive and I am associated with ICICI BankDislikes:There is no reason to work in A process. There is no increment he...Senior Executive in VadodaraRetail & B2C Sales1.0 • posted on 28 Nov 2024Likes:I have good knowledge of sales and customer is positive and I am associated with ICICI BankSkill development - Excellent+3 moreDislikes:There is no reason to work in A process. There is no increment he...Salary - Bad+1 moreCompare I Process Services with Similar CompaniesI Process ServicesTeleperformanceChange CompanyOptum Global SolutionsChange CompanyConcentrix CorporationChange CompanyOverall Rating3.9/5based on 2.5k reviews3.9/5based on 31k reviews4.0/5based on 6.3k reviews3.7/5based on 27.4k reviewsHighly Rated forWork-life balanceCompany cultureSkill developmentWork-life balanceJob securityJob securityWork-life balanceCompany cultureJob securityCritically Rated forPromotionsSalaryNo critically rated categoryPromotionsPromotionsSalary"
280,Quest Global,2.5k,3.6,IT Services & Consulting,19k,312,107,1997,28,quest-global.com
281,HDFC Sales,2.5k,4.0,Financial Services,8.1k,168,26,2004,21,hdfcsales.com
282,Capita,2.4k,3.6,IT Services & Consulting,13.7k,149,46,2005,20,capita.com
283,Flex,2.4k,4.0,Electronics Manufacturing,16.6k,190,59,1969,56,flex.com
284,Sahrudaya Healthcare (Medicover Hospitals),2.4k,4.5,Healthcare,3.2k,126,29,2011,14,medicoverhospitals.in
285,Nokia,2.5k,4.1,Telecom,15.2k,269,77,1865,160,nokia.com
